BAT_ID,sigma_km_s,e_sigma_km_s,logMBH_RG_Inferred,e_logMBH_RG
1,126,6,7.61,0.09
4,146,6,7.89,0.07
7,205,12,8.54,0.11
10,253,14,8.94,0.1
13,131,8,7.68,0.12
17,147,7,7.9,0.09
20,294,22,9.22,0.14
24,121,7,7.54,0.11
25,134,6,7.73,0.08
28,200,3,8.49,0.03
29,135,17,7.74,0.23
31,83,1,6.82,0.03
32,269,29,9.05,0.19
33,82,21,6.8,0.44
37,195,10,8.45,0.09
44,160,7,8.06,0.08
49,190,7,8.39,0.07
50,104,5,7.24,0.09
53,140,5,7.82,0.07
55,151,9,7.96,0.12
57,239,7,8.83,0.06
58,118,5,7.49,0.08
62,131,9,7.68,0.13
63,106,1,7.29,0.02
64,168,5,8.16,0.05
65,123,16,7.56,0.23
